ticker,event_date,capm_alpha,capm_beta,capm_car_1,capm_car_5,capm_car_30,capm_car_60
AA,2015-04-13,,,,,,
AA,2016-02-11,-0.0017638888075709224,1.1194524491206979,0.016272698523580584,0.01869791111373008,0.2225766455309955,0.24881489510235602
AA,2016-04-28,-0.0009425282405266585,1.4170951017216102,0.010044158847738512,-0.08062896883173856,-0.14171503493168747,-0.05547452030770579
AA,2016-07-21,0.0002917231776918218,1.4459415275272027,-0.005379940272482282,0.007142566547441519,-0.05106365113344324,-0.16762304488677596
AAL,2019-06-05,-0.0014397084554390609,1.5011685058708542,0.023355725585907563,0.033970428482663184,0.0954316597251513,-0.0663669678038476
AAOI,2016-06-20,-0.0015229043146779459,1.70936940449918,0.010816037465951632,0.0008339887520565012,0.15542014709149654,0.8791370691915182
AAOI,2024-03-19,0.010668494285424638,2.5228391624816435,0.05304552067797517,0.01705970897574581,-0.5204718140690858,-0.9937507214225334
AAP,2016-09-06,-0.0005784650218384096,0.9770846943429885,0.019059555825974506,-0.020374922584549766,-0.06732676296991633,0.10439689369757868
AAP,2017-06-05,-0.0005207308916700658,0.9246896366336979,-0.04300044671845496,-0.04309647857922701,-0.29932916088827927,-0.30442817215063633
AAP,2023-06-13,-0.0015465740154760326,0.8553059507162449,0.04532620885230766,0.03161266066044345,0.0996732848337418,0.049843724221099284
ABBV,2019-06-28,-0.0006781007617208472,0.9083203688707655,0.03664463461818452,0.006365498603055811,-0.033082113752971945,0.0828509198008705
ABCB,2017-06-02,0.0010595929117749633,1.332650894690586,-0.005560824920280696,0.10782731643128719,0.01680885520490972,-0.0641052689122251
ABCB,2020-03-17,-0.0003585075906119376,1.3079479145937438,-0.053150693172966224,0.007196374457965685,0.02084128837221639,-0.08604557475914665
ABCB,2023-05-24,-0.0012260875898350142,1.0113896386266605,-0.016424531192458507,-0.01952515771893215,0.03698065273340641,0.24432156659286913
ABCL,2020-12-17,,,,,,
ABCL,2021-12-07,,,,,,
ABCL,2022-06-08,-0.004498882950963298,1.4697260856897159,0.1305541705081336,0.3342779913601197,0.4749711515186451,0.7293800562693518
ABR,2020-03-17,0.0006289113180594306,0.5802518267522436,-0.4180778496158214,-0.4903166626570934,0.07523769978832963,0.309169400915158
ABR,2023-11-29,-5.532555707915466e-05,1.228020552256331,0.03088509820998655,0.09190345083168622,0.15099089051964953,-0.01644596547028006
ABSI,2021-07-28,,,,,,
ABSI,2022-02-10,,,,,,
ACCO,2018-11-02,-0.0007072103704053606,0.9368980786878165,-0.005350287857227645,-0.022453240142479392,-0.12150933079530671,0.11142237411293617
ACDC,2024-05-28,-0.0018767914920659178,1.076433340875761,0.028343606182280906,-0.03134021295799094,-0.12371226812917266,-0.2849048963775277
ACHR,2024-12-13,-0.004374651114406423,1.6915425812411844,0.22922680401192858,0.36157251760495634,,
ACI,2020-08-17,,,,,,
ACI,2021-06-04,,,,,,
ACIC,2023-09-21,0.015586232139732958,0.22200724867341934,-0.026782002612840083,-0.05882179976224999,-0.436761772081,-0.7263936583415667
ACLS,2024-03-11,-0.0020273589913945285,2.352664244731636,-0.01938287695200777,-0.015152844440337135,-0.050988332862989816,0.1604860695682101
ACLX,2022-02-10,,,,,,
ACNB,2015-03-30,,,,,,
ACNB,2015-06-26,0.0003791272255557605,0.10662769135002953,0.0006775591437184064,0.027325970801691402,0.01429336795206613,0.024157255740948978
ACNB,2015-09-21,0.0005305301796024702,0.10601386531492096,0.0008163706537882114,0.02937635883975865,0.018383570723753063,0.007486847193709257
ACNB,2015-12-18,0.00036964877724223534,0.09420173582366519,0.00044117618280671914,0.005374231083653377,0.019177892968540645,0.023851256778827483
ACNB,2016-03-31,0.0004719007247404603,0.05167149983121194,-0.013217996855607197,0.009339524523757938,-0.004052310095774649,0.06329876932983539
ACNB,2016-06-21,0.0005365964518991694,0.08884971258893194,0.028516899525847867,0.05199559213496999,0.046324299873580624,0.1113421597128058
ACNB,2016-09-21,0.0011236434226369334,0.3507475558184873,0.008479910267842328,-0.017436714402984516,-0.023725219389639327,0.10234369515035927
ACNB,2016-12-21,0.00114695141067028,0.48188575121521854,-0.009348765896978592,-0.04769328874972026,-0.1442330225956462,-0.16985171848634167
ACNB,2017-03-24,0.0009135164078544646,0.7337171359932774,-0.012412971040626095,-0.027754493462497205,0.01946958209928732,-0.08398550584938147
ACNB,2017-06-21,0.000702331606760953,0.7775703339011754,0.0008574609417242243,0.02514796435250337,-0.0549285301461083,-0.12575712927633614
ACNB,2017-09-12,-0.00011044330534099081,0.7303298772425518,-0.011795768521233811,0.022495157786419747,0.012293395514824676,0.06257094748135908
ACNB,2017-12-21,-0.0011472410266741356,0.8588026105900693,0.00591593798932879,-0.0038974478514094447,-0.05304447412594971,0.05919029463233289
ACNB,2018-03-21,-0.0006301436988501178,0.9052388965008967,-0.0012532152238270973,0.016123451334610416,0.07147657136686189,0.08154582655449244
ACNB,2018-06-21,0.00019622831898144407,0.6240740270691414,0.10848962198123537,0.07402373889096775,0.037116311447947005,0.17255538939523662
ACNB,2018-12-20,0.0014242086679231859,0.752530121405765,0.03280893839865161,-0.031522201108795625,-0.2031555346481949,-0.2634923556427193
ACNB,2019-03-21,0.0011479741720124164,0.5400470567667505,-0.03179129945373994,-0.015232025647989814,0.004714678887351879,-0.05916431188479441
ACNB,2019-06-20,0.0008689499244970769,0.6211759313377279,-0.0013976410625829768,-0.022188055088430213,-0.022254600043351946,-0.10326812285331227
ACNB,2019-09-19,-7.927901784041273e-05,0.6278912399115615,0.027217033152990452,-0.019100082627324228,0.0028786653986053105,0.00878546029206967
ACNB,2019-12-20,-0.0011398066472516988,0.6545365796002561,-0.0002051766144493686,0.0007417909273137215,-0.006200124667741558,-0.025028712783783436
ACNB,2020-03-20,-0.0004072166549109909,0.9568314778544537,0.09278378250689356,0.02709362778253574,-0.02984542435067228,-0.02520905185815081
ACNB,2020-06-19,-0.001327683628350631,1.7055069851142932,-0.002216268981364424,0.056109406881841205,-0.15490676725653957,-0.15649775263499766
ACNB,2020-09-30,-0.002169607173681231,1.7932254883665233,-0.057350098185764316,-0.0022333956529553313,0.038444114902185814,0.13231442225397674
ACNB,2020-12-30,-0.0013991766725386745,1.7518396364459143,-0.024018739937625808,0.02484244328674602,-0.0010360096287978203,0.15243605413172012
ACNB,2021-04-01,-0.0024682046998584202,1.6284091951058886,-0.033282875391433875,-0.05101014301913606,-0.029851504572860576,0.0002763562913070342
ACNB,2021-06-21,-0.00014770978183813082,1.0002046457013771,-0.00585211706834368,-0.004738829975847505,-0.0330149988309316,-0.05255791551428686
ACNB,2021-09-21,0.0004901571666178063,0.9921462778312659,-0.0038669045639614296,0.016003386274469643,-0.05881450488443626,-0.034387638915165095
ACNB,2021-12-21,-2.8819194095732918e-05,0.6577962469174085,0.005658305307682122,0.04635435895460162,0.11823564469075071,0.17082117358105697
ACNB,2022-03-18,0.00028635297151339916,0.4507014235826021,0.004454503442580827,0.022485179856390813,0.034561364141472414,0.013879534116477328
ACNB,2022-07-01,0.0007481691974482863,0.3077860774800081,0.047060511551944045,0.03433939961450036,0.14287998154044768,0.016538829172631078
ACNB,2022-09-20,0.001309035237349672,0.2563010460685678,-0.00011894080717194397,-0.04629900777311795,0.06723211660895134,0.09714995923679406
ACNB,2022-12-20,0.0015202948946169042,0.39195804866601125,0.042010229786053316,0.013804034809990418,-0.055191101184588164,-0.27997143155931176
ACNB,2023-03-21,0.0011615456713453614,0.5185420593441004,-0.0024595826429378645,0.007134299400551294,-0.17327226363495132,-0.058803491037865085
ACNB,2023-06-21,-0.0010502787197169397,0.7343497463828035,0.030972687431936215,0.036019512539609694,0.11838137699553838,0.12571143987400632
ACNB,2023-09-20,1.2060382086736065e-05,0.8484397602333666,-0.010091897780000626,-0.009012216198743761,0.06430543567931851,0.2705260682624284
ACRS,2015-10-30,,,,,,
ACRS,2018-04-09,-0.002638863576894083,1.0924969769385136,0.03640995155220805,0.06259021941076844,0.17938901502532473,0.3053400019819403
ACT,2021-09-20,,,,,,
ADC,2015-06-29,0.00011819859375839261,0.5969661606954119,-0.0005206354124699256,0.02494987143131793,0.03552399902432636,0.06194157976750895
ADC,2017-05-17,0.0006551378782938656,0.42429365178563877,0.014538581972559719,0.01657502097800911,0.014693315361270888,0.04240049256795568
ADC,2019-07-16,0.0011775359711185239,0.2999140121912949,-0.013069505951340658,0.008464481864932615,0.09383773584055073,0.07310317726085058
ADC,2019-12-19,0.0010861525386828687,0.28019780263032623,-0.008559447507994327,0.006023993521003674,0.06521312779785278,-0.27186007003793705
ADC,2020-04-06,0.0007165230025100685,0.19296599576555248,0.03762531965588517,0.11987529325695169,0.031942920950619416,0.11878190359291517
ADC,2021-03-04,-0.0015350036037612754,1.0466288503055745,0.02230871692823845,0.022533107686530683,0.04215299216810299,0.1117524625897143
ADC,2021-10-08,-0.00013492787293693432,0.6222600732268853,-0.0051930945889199645,0.006469116022796175,-0.014286201034344992,0.008496508596184667
ADC,2023-05-30,6.75259662978885e-05,0.4594466929113273,0.0044674240319496,0.007161861876004445,-0.012389988384120913,-0.05286974003646253
