ticker,company_name,event_date,cluster_start,cluster_end,n_unique_insiders,n_transactions,insider_names,total_value,avg_price,first_trade_date,last_trade_date,first_filing_date,last_filing_date
ESQ,"Esquire Financial Holdings, Inc.",2018-02-16 13:28:51,2018-01-26,2018-02-14,3,4,Coelho Anthony; Waterhouse Kevin C; Zises Selig,163607,22.4575,2018-01-26,2018-02-14,2018-01-29 17:03:14,2018-02-16 13:28:51
MSON,Misonix Inc,2018-02-20 08:01:08,2018-02-09,2018-02-16,3,4,Dwyer Joseph P; McBrayer Patrick A; Patton Thomas M,69529,10.17,2018-02-09,2018-02-16,2018-02-12 08:02:31,2018-02-20 08:01:08
GRA,W R Grace & Co,2018-02-20 09:13:27,2018-02-12,2018-02-16,4,4,Blaser Thomas E; Brown Elizabeth C; Cole Keith N; Festa Alfred E,2294974,65.9075,2018-02-12,2018-02-16,2018-02-12 16:45:14,2018-02-20 09:13:27
OLN,Olin Corp,2018-02-20 09:22:42,2018-02-12,2018-02-16,3,3,Bogus Donald W; Larrimore Randall W; Shipp Earl L,431504,32.12,2018-02-12,2018-02-16,2018-02-13 09:12:24,2018-02-20 09:22:42
TPHS,Trinity Place Holdings Inc.,2018-02-20 17:33:32,2018-02-01,2018-02-20,4,7,"Kahn Steven; Messinger, Matthew; Mfp Partners LP; Minieri Joanne",880587,6.325714285714285,2018-02-01,2018-02-20,2018-02-06 16:33:22,2018-02-20 17:33:32
QES,Quintana Energy Services Inc.,2018-02-20 18:19:33,2018-02-13,2018-02-16,4,4,Archer Holdco LLC; Geveran Investments Ltd; Herndon Daniel Rogers `; Robertson Corbin J Jr,32093900,9.8475,2018-02-13,2018-02-16,2018-02-15 20:04:31,2018-02-20 18:19:33
MMLP,Martin Midstream Partners LP,2018-02-21 10:22:59,2018-02-20,2018-02-20,5,5,Bondurant Robert D; Booth Chris H; Martin Ruben S; Shoup Scot A; Tauscher Randall,13757,16.59,2018-02-20,2018-02-20,2018-02-21 10:21:33,2018-02-21 10:22:59
FNWB,First Northwest Bancorp,2018-02-21 16:07:02,2018-02-06,2018-02-20,3,3,Behar Dana D.; Finnie Cindy H.; Tonina Norman J. Jr.,57334,16.313333333333336,2018-02-06,2018-02-20,2018-02-06 18:54:57,2018-02-21 16:07:02
FMBM,F&m Bank Corp,2018-02-21 16:09:37,2018-01-02,2018-02-01,6,9,Comer Carrie A; Crist John N; Hanna Mark Christopher; Hayslett Neil W; Shillingburg Stephanie E; Wampler Ronald E,47830,33.17777777777778,2018-01-02,2018-02-01,2018-01-02 11:40:53,2018-02-21 16:09:37
RARX,"Ra Pharmaceuticals, Inc.",2018-02-21 16:19:25,2018-02-14,2018-02-16,3,3,"New Enterprise Associates 13 LP; Ra Capital Management, LLC; Shah Rajeev M.",42000000,6.0,2018-02-14,2018-02-16,2018-02-16 16:42:52,2018-02-21 16:19:25
MOTS,"Motus Gi Holdings, Inc.",2018-02-21 16:20:35,2018-02-16,2018-02-16,9,9,Hochman David P; Jacobs Gary E.; Korangy Shervin J; Nussbaum Samuel R Md; Perceptive Advisors LLC; Pomeranz Mark; Pruden Gary J; Sherman Darren; Taylor Andrew Lawrence,6275000,5.0,2018-02-16,2018-02-16,2018-02-21 06:04:41,2018-02-21 16:20:35
BPFH,Boston Private Financial Holdings Inc,2018-02-22 16:26:33,2018-01-22,2018-02-21,3,5,Furlong Mark F; Griffin Corey; Macdonald W. Timothy,507465,15.266,2018-01-22,2018-02-21,2018-01-24 17:56:16,2018-02-22 16:26:33
ARRS,Arris International Plc,2018-02-26 08:30:20,2018-02-16,2018-02-23,4,5,Heller Andrew Todd; McClelland Bruce William; Stanzione Robert J; Wilson Debora J,279139,25.3,2018-02-16,2018-02-23,2018-02-20 20:55:50,2018-02-26 08:30:20
AIMT,"Aimmune Therapeutics, Inc.",2018-02-26 16:25:25,2018-02-22,2018-02-26,5,5,Bjerkholt Eric; Enright Patrick G; Falberg Kathryn E; Iwicki Mark T; Tammenoms Bakker Juliet,2158976,32.0,2018-02-22,2018-02-26,2018-02-26 16:05:51,2018-02-26 16:25:25
XTNT,"Xtant Medical Holdings, Inc.",2018-02-26 18:31:03,2018-02-14,2018-02-14,3,3,Eggenberg Michael; Orbimed Advisors LLC; Rizzo Matthew,20429691,7.2,2018-02-14,2018-02-14,2018-02-23 18:55:16,2018-02-26 18:31:03
CVON,"Convergeone Holdings, Inc.",2018-02-26 18:59:55,2018-02-22,2018-02-22,3,3,Goldberg Neil; Katzman Richard; Vogel Stephen A,11000000,8.0,2018-02-22,2018-02-22,2018-02-23 17:53:55,2018-02-26 18:59:55
FSP,Franklin Street Properties Corp /ma/,2018-02-27 13:32:34,2018-02-16,2018-02-27,4,4,Anchondo Eriel; Burke John N; Carter George J; Hoxsie Kenneth A,100829,8.515,2018-02-16,2018-02-27,2018-02-20 09:55:36,2018-02-27 13:32:34
PLBC,Plumas Bancorp,2018-02-27 13:41:00,2018-02-06,2018-02-23,3,3,Coldani Steven M.; Kenny Richard Francis; McClintock Robert J,97984,24.313333333333333,2018-02-06,2018-02-23,2018-02-08 15:17:03,2018-02-27 13:41:00
MOFG,"Midwestone Financial Group, Inc.",2018-02-27 14:48:47,2018-01-30,2018-02-27,9,10,Cantrell James M; Donohue Richard R; Funk Charles N; Kramer Kevin E; McCormick Tracy S; Monson Kevin W; Stanoch Ruth E; True Douglas K; West Stephen L,230012,33.102999999999994,2018-01-30,2018-02-27,2018-01-31 15:38:59,2018-02-27 14:48:47
NHI,National Health Investors Inc,2018-02-27 17:09:38,2018-02-22,2018-02-26,3,3,McCabe Robert A Jr; Mendelsohn D. Eric; Spaid John L,183918,65.37,2018-02-22,2018-02-26,2018-02-23 16:35:18,2018-02-27 17:09:38
PRIM,Primoris Services Corp,2018-02-27 17:19:00,2018-02-26,2018-02-26,4,4,King David Lee; McCormick Thomas Edward; Moerbeek Peter J; Perisich John M.,407424,20.87,2018-02-26,2018-02-26,2018-02-27 17:14:10,2018-02-27 17:19:00
ANCX,Access National Corp,2018-02-27 17:35:27,2018-02-23,2018-02-23,5,5,Kody Thomas M; McDaniel Mary Leigh; Moore Mark D.; Neuharth Janet A; Taylor Margaret M,38100,27.47,2018-02-23,2018-02-23,2018-02-27 17:31:55,2018-02-27 17:35:27
CBB,Cincinnati Bell Inc,2018-02-28 09:12:42,2018-02-23,2018-02-27,3,3,Fox Leigh R.; Kaiser Andrew R.; Wilson Christopher J,110451,14.963333333333333,2018-02-23,2018-02-27,2018-02-26 10:24:39,2018-02-28 09:12:42
ISTR,Investar Holding Corp,2018-02-28 09:38:16,2017-10-30,2017-11-21,3,3,Baker James M; Jordan Robert Chris; Lukinovich David J,15457,23.153333333333332,2017-10-30,2017-11-21,2017-11-14 17:41:01,2018-02-28 09:38:16
MPAA,Motorcar Parts America Inc,2018-02-28 12:12:48,2018-02-12,2018-02-26,6,6,Bryan David; Ferguson Joseph Edwin; Miller Duane Franklin; Mirvis Jeffrey P; Selwyn Joffe; Vargo Timothy D,171459,21.64166666666667,2018-02-12,2018-02-26,2018-02-13 17:51:00,2018-02-28 12:12:48
NKSH,National Bankshares Inc,2018-02-28 13:14:16,2017-06-01,2017-06-20,3,4,Dooley John Elliott; Dye Michael E; Miller Mary G,33781,42.9,2017-06-01,2017-06-20,2017-06-20 15:50:43,2018-02-28 13:14:16
STOR,Store Capital Corp,2018-02-28 15:29:47,2018-02-27,2018-02-28,3,3,Donovan Joseph M; Long Catherine F.; Volk Christopher H,295603,23.69666666666667,2018-02-27,2018-02-28,2018-02-28 15:12:39,2018-02-28 15:29:47
PE,"Parsley Energy, Inc.",2018-02-28 18:01:20,2018-02-26,2018-02-28,3,3,Alameddine A R; Brokmeyer Ron; Sheffield Bryan,5302650,25.996666666666666,2018-02-26,2018-02-28,2018-02-26 17:10:43,2018-02-28 18:01:20
ECA,Encana Corp,2018-03-01 11:08:14,2018-02-16,2018-03-01,4,6,Mayson Howard John; McKenzie Margaret Anne; Nimocks Suzanne P; Suttles Douglas James,251902,10.883333333333333,2018-02-16,2018-03-01,2018-02-16 15:40:14,2018-03-01 11:08:14
CRC,California Resources Corp,2018-03-01 15:41:23,2018-03-01,2018-03-01,3,3,Gannon Justin A.; McMahon Harry T.; Stevens Todd A.,545631,13.963333333333333,2018-03-01,2018-03-01,2018-03-01 14:27:55,2018-03-01 15:41:23
FRAF,Franklin Financial Services Corp /pa/,2018-03-02 15:04:24,2018-01-31,2018-02-28,4,10,Carmack Karen K; Cekovich Ronald L; Duffey Gregory A; Hanks Patricia A,2645,35.7,2018-01-31,2018-02-28,2018-02-02 15:06:08,2018-03-02 15:04:24
RGCO,Rgc Resources Inc,2018-03-02 15:16:15,2018-03-01,2018-03-01,3,3,Agee Nancy H; D Orazio John S; Smoot Raymond D Jr,4833,24.91,2018-03-01,2018-03-01,2018-03-02 10:36:40,2018-03-02 15:16:15
CSBB,Csb Bancorp Inc /oh,2018-03-02 15:16:50,2018-01-31,2018-03-02,7,8,Baker Robert K; Briggs Vikki G; Coblentz Julian L; Kirkbride Cheryl M; Robb Jeffery A; Steiner Eddie L; Waltman John R,118223,35.286249999999995,2018-01-31,2018-03-02,2018-02-01 16:45:04,2018-03-02 15:16:50
CMG,Chipotle Mexican Grill Inc,2018-03-02 16:15:53,2018-02-15,2018-02-28,3,3,"Cappuccio Paul T; Namvar Ali; Pershing Square Capital Management, L.P.",134819781,308.90666666666664,2018-02-15,2018-02-28,2018-02-15 18:05:08,2018-03-02 16:15:53
IVR,Invesco Mortgage Capital Inc.,2018-03-02 16:27:46,2018-02-23,2018-02-28,3,3,Lockhart Dennis P; Marshall Jason; Phegley Richard Lee Jr.,1039273,15.866666666666667,2018-02-23,2018-02-28,2018-02-26 16:30:27,2018-03-02 16:27:46
HT,Hersha Hospitality Trust,2018-03-02 16:45:15,2018-03-02,2018-03-02,3,3,Parikh Ashish R; Shah Jay H; Shah Neil H,124669,16.78,2018-03-02,2018-03-02,2018-03-02 16:40:30,2018-03-02 16:45:15
VCTR,"Victory Capital Holdings, Inc.",2018-03-02 20:32:53,2018-02-08,2018-02-28,4,7,Brown David Craig; Davanzo Lawrence; Hawkes James B; Sullivan Terence Francis,4956101,12.495714285714286,2018-02-08,2018-02-28,2018-02-12 16:22:51,2018-03-02 20:32:53
FMNB,Farmers National Banc Corp /oh/,2018-03-05 09:21:52,2018-02-07,2018-03-01,8,8,Culp Carl D; Gerzina Joseph A; Moore Terry A; Muransky Edward; Sabat Joseph W; Shaffer Timothy F; Strollo Gregg; Wallace Amber B,20183,13.94875,2018-02-07,2018-03-01,2018-02-09 09:10:21,2018-03-05 09:21:52
OLBK,Old Line Bancshares Inc,2018-03-05 10:15:52,2018-01-29,2018-02-28,3,3,Cornelsen James W; Manuel Gail D; Shah Suhas R,345696,31.28,2018-01-29,2018-02-28,2018-01-30 17:50:35,2018-03-05 10:15:52
FTAI,Fortress Transportation & Infrastructure Investors LLC,2018-03-05 16:07:59,2018-03-01,2018-03-01,3,3,Adams Joseph P. Jr.; Goodwin Paul R; Tuchman Martin,1746187,16.439999999999998,2018-03-01,2018-03-01,2018-03-01 19:28:59,2018-03-05 16:07:59
ED,Consolidated Edison Inc,2018-03-05 17:35:04,2018-01-31,2018-02-28,8,16,Cawley Timothy; Hoglund Robert N; McAvoy John; Moore Elizabeth D; Muccilo Robert; Nadkarni Gurudatta D; Oates Joseph P; Sanchez Robert,32229,78.85,2018-01-31,2018-02-28,2018-02-05 17:58:49,2018-03-05 17:35:04
ETH,Ethan Allen Interiors Inc,2018-03-06 10:18:50,2018-02-08,2018-03-02,3,3,Esposito Domenick J.; Kathwari M Farooq; Whitely Corey,161651,24.30666666666666,2018-02-08,2018-03-02,2018-02-08 16:23:49,2018-03-06 10:18:50
EPC,Edgewell Personal Care Co,2018-03-06 15:03:37,2018-02-12,2018-03-06,7,8,Bender Anthony J; Hatfield David P; Heinrich Daniel J; Hill John N; Hoover R David; Hunter John C III; Johnson James C,764008,52.025000000000006,2018-02-12,2018-03-06,2018-02-12 14:27:28,2018-03-06 15:03:37
CLDT,Chatham Lodging Trust,2018-03-06 18:47:04,2018-02-28,2018-03-05,4,4,Craven Dennis M; Fisher Jeffrey H; Goldsmith C Gerald; Willis Peter,270485,18.362499999999997,2018-02-28,2018-03-05,2018-03-01 13:06:58,2018-03-06 18:47:04
TSRO,"Tesaro, Inc.",2018-03-06 21:20:44,2018-03-02,2018-03-02,9,9,Barrett M James; Barris Peter J; Baskett Forest; Kerins Patrick J; Mott David M; Moulder Leon O Jr; New Enterprise Associates 13 LP; Sandell Scott D; Viswanathan Ravi,62108988,57.34777777777778,2018-03-02,2018-03-02,2018-03-05 06:05:08,2018-03-06 21:20:44
APTS,Preferred Apartment Communities Inc,2018-03-07 11:59:12,2018-03-06,2018-03-06,3,3,Dupree Daniel M; Silverstein Leonard A; Williams John A,20790,13.86,2018-03-06,2018-03-06,2018-03-07 11:58:31,2018-03-07 11:59:12
WLKP,Westlake Chemical Partners LP,2018-03-07 14:07:54,2018-02-27,2018-03-06,3,5,Bender Mark Steven; Chao Albert; Teel Lawrence E.,356595,23.11,2018-02-27,2018-03-06,2018-02-27 13:26:10,2018-03-07 14:07:54
CZWI,Citizens Community Bancorp Inc.,2018-03-07 16:16:57,2018-02-06,2018-03-05,3,6,Bianchi Stephen M; Broucek James S; Moll James D,100957,13.848333333333334,2018-02-06,2018-03-05,2018-02-08 09:55:07,2018-03-07 16:16:57
TTS,"Tile Shop Holdings, Inc.",2018-03-07 17:30:52,2018-02-22,2018-03-05,4,7,Cook Christopher Thomas; Jacullo Peter J III; Kamin Peter H; Krasnow Todd,5058495,5.628571428571429,2018-02-22,2018-03-05,2018-02-26 16:45:45,2018-03-07 17:30:52
CNBKA,Century Bancorp Inc,2018-03-07 18:15:56,2018-02-06,2018-03-02,7,16,Delinsky Stephen R; Evangelista Paul A; Feeney Brian J.; Filler James J; Kay Linda Sloane; Sloane Barry R; Westling Jon,401095,91.57250000000002,2018-02-06,2018-03-02,2018-02-12 17:30:59,2018-03-07 18:15:56
BKD,Brookdale Senior Living Inc.,2018-03-08 16:40:46,2018-02-27,2018-03-06,5,6,Baier Lucinda M; Bromley Marcus E; Bumstead Frank M; Seward James R; Wielansky Lee S,495064,6.896666666666667,2018-02-27,2018-03-06,2018-02-28 21:40:41,2018-03-08 16:40:46
HES,Hess Corp,2018-03-08 18:34:51,2018-03-06,2018-03-06,11,11,Chase Rodney F; Checki Terrence J.; Coleman Leonard S Jr; Holiday Edith E; Lavizzo-Mourey Risa J; Lipschultz Marc S; McManus David; Meyers Kevin Omar; Quigley James H.; Reynolds Fredric G; Schrader William G.,275176,48.48,2018-03-06,2018-03-06,2018-03-08 18:28:21,2018-03-08 18:34:51
BKSC,Bank of South Carolina Corp,2018-03-09 12:20:43,2018-02-05,2018-03-07,5,5,Hassell Fleetwood S; Lane Hugh C Jr; Sass Douglas H; Sharry Sheryl G; Walpole Eugene H IV,447176,19.226,2018-02-05,2018-03-07,2018-02-07 15:00:00,2018-03-09 12:20:43
ARR,"Armour Residential Reit, Inc.",2018-03-09 15:12:32,2018-02-16,2018-03-09,3,3,Gruber Mark; Mountain James R; Zimmer Jeffrey J,283708,22.736666666666665,2018-02-16,2018-03-09,2018-02-16 14:05:01,2018-03-09 15:12:32
TEX,Terex Corp,2018-03-09 16:18:19,2018-02-08,2018-03-08,3,6,Barr Kevin A; Henry Brian J; Sheehan John D,30053,40.776666666666664,2018-02-08,2018-03-08,2018-02-12 15:15:52,2018-03-09 16:18:19
HK,Halcon Resources Corp,2018-03-12 06:54:19,2018-02-09,2018-03-09,3,3,Ares Management LLC; Schall Darryl; Wilson Floyd C,7982450,5.866666666666667,2018-02-09,2018-03-09,2018-02-13 19:02:46,2018-03-12 06:54:19
SRG,Seritage Growth Properties,2018-03-12 14:33:46,2018-03-01,2018-03-09,3,3,Lampert Edward S; Lombard Kenneth T; McClain John,2848238,35.81666666666666,2018-03-01,2018-03-09,2018-03-02 14:36:36,2018-03-12 14:33:46
B,Barnes Group Inc,2018-03-12 14:41:54,2018-02-21,2018-03-09,3,3,Benanav Gary G; Hipple Richard J; Mangum Mylle H,84294,62.26666666666667,2018-02-21,2018-03-09,2018-02-21 14:31:41,2018-03-12 14:41:54
OLBK,Old Line Bancshares Inc,2018-03-12 15:57:26,2018-03-01,2018-03-12,3,3,Deadrick Stephen J; McGill Carla Hargrove; Suit John M II,183736,32.67666666666667,2018-03-01,2018-03-12,2018-03-05 09:06:12,2018-03-12 15:57:26
LIND,"Lindblad Expeditions Holdings, Inc.",2018-03-12 16:39:40,2018-03-02,2018-03-08,4,4,Dryden L. Dyson; Ein Mark; Fahey John M Jr; Hanrahan Daniel J,650138,9.299999999999999,2018-03-02,2018-03-08,2018-03-05 16:43:03,2018-03-12 16:39:40
SBOW,"Silverbow Resources, Inc.",2018-03-13 10:00:20,2018-02-15,2018-03-09,3,3,Adam Steven W; Van Riet Gerald Gleeson; Woolverton Sean C,62992,28.48333333333333,2018-02-15,2018-03-09,2018-02-16 11:19:35,2018-03-13 10:00:20
FNB,Fnb Corp/pa/,2018-03-13 16:11:07,2018-02-05,2018-02-12,3,4,Bena Pamela A; Hormell Robert A; Mencini Frank C,128037,13.790000000000001,2018-02-05,2018-02-12,2018-02-12 10:07:09,2018-03-13 16:11:07
RSO,Resource Capital Corp.,2018-03-13 16:22:39,2018-03-12,2018-03-13,5,5,Blackwell Eldron C; Bryant David J; Cohen Jeffrey P; Stern Matthew J; Weisbaum Michele R.,145469,9.209999999999999,2018-03-12,2018-03-13,2018-03-13 16:19:00,2018-03-13 16:22:39
VRX,"Valeant Pharmaceuticals International, Inc.",2018-03-13 16:43:22,2018-03-06,2018-03-13,4,4,De Schutter Richard U; Herendeen Paul; Papa Joseph C; Paulson John,109702457,15.722500000000002,2018-03-06,2018-03-13,2018-03-08 17:04:35,2018-03-13 16:43:22
BRX,Brixmor Property Group Inc.,2018-03-13 17:37:24,2018-02-14,2018-03-13,3,3,Greene-Sulzberger Gabrielle; Horgan Mark; Taylor James M Jr,195495,15.336666666666668,2018-02-14,2018-03-13,2018-02-15 18:50:32,2018-03-13 17:37:24
CLDB,Cortland Bancorp Inc,2018-03-13 17:39:15,2018-02-01,2018-03-01,8,16,Cole David C; Hoffman James E III; Kaback Neil J; Koch Joseph E; Langhenry Joseph P; Thompson Richard B; Vross Anthony R; Woofter Timothy K,15000,23.4,2018-02-01,2018-03-01,2018-02-12 11:48:51,2018-03-13 17:39:15
PRMW,Primo Water Corp,2018-03-13 19:22:05,2018-03-09,2018-03-09,3,3,Hass David W.; Kilgore Jack C.; Sheehan Matthew,26425,11.99,2018-03-09,2018-03-09,2018-03-13 19:06:55,2018-03-13 19:22:05
GOOD,Gladstone Commercial Corp,2018-03-14 10:48:11,2018-02-13,2018-03-13,4,6,Adelgren Paul W; Cutlip Robert G; Gladstone David; Sodo Michael,362811,17.631666666666664,2018-02-13,2018-03-13,2018-02-14 14:35:22,2018-03-14 10:48:11
BSRR,Sierra Bancorp,2018-03-14 13:27:34,2018-01-29,2018-02-23,3,3,Christenson Vonn R; Dutto Laurence S; Evans Robb,47295,27.05666666666667,2018-01-29,2018-02-23,2018-01-29 16:48:49,2018-03-14 13:27:34
CRVS,"Corvus Pharmaceuticals, Inc.",2018-03-14 14:05:32,2018-03-12,2018-03-12,6,6,Adams Street Partners LLC; Gould Terry P; Miller Richard A Md; Novo Holdings A/s; Orbimed Advisors LLC; Thompson Peter A.,30849987,8.5,2018-03-12,2018-03-12,2018-03-12 16:05:45,2018-03-14 14:05:32
PLYA,Playa Hotels & Resorts N.V.,2018-03-14 18:16:28,2018-03-06,2018-03-14,4,4,Haggerty Stephen G; Hirsch Daniel J.; Jones Hal; Wardinski Bruce D,734070,10.7225,2018-03-06,2018-03-14,2018-03-06 16:29:15,2018-03-14 18:16:28
MGEE,Mge Energy Inc,2018-03-15 09:45:00,2018-03-06,2018-03-13,3,3,Berbee James G; Keebler Jeffrey M; Millner Regina M,69960,55.25,2018-03-06,2018-03-13,2018-03-07 15:17:43,2018-03-15 09:45:00
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",2018-03-15 10:42:34,2018-03-14,2018-03-14,4,4,Cohen Yuval; Hochman David P; Moran Sean F.; White Barbara,81650,6.762499999999999,2018-03-14,2018-03-14,2018-03-14 11:01:55,2018-03-15 10:42:34
RNDB,"Randolph Bancorp, Inc.",2018-03-15 12:31:25,2018-03-02,2018-03-14,3,3,McDonough James P; Quigley Kenneth K Jr; Welch James G.,33466,15.72,2018-03-02,2018-03-14,2018-03-06 13:26:35,2018-03-15 12:31:25
EBTC,Enterprise Bancorp Inc /ma/,2018-03-15 14:08:07,2018-03-01,2018-03-13,3,3,King Mary Jane; Pedroso Luis M; Putziger Michael T,17427,32.449999999999996,2018-03-01,2018-03-13,2018-03-05 13:49:15,2018-03-15 14:08:07
CRDAC,Crawford & Co,2018-03-15 15:07:06,2018-03-14,2018-03-14,3,3,Blanco Joseph O; Crawford Jesse C; Ogburn Charles H,294889,7.98,2018-03-14,2018-03-14,2018-03-14 15:02:29,2018-03-15 15:07:06
NWIN,Northwest Indiana Bancorp,2018-03-15 17:45:00,2018-02-27,2018-03-15,3,4,Bochnowski Benjamin J; Garza Danette; Johnson Robert E. III,39113,44.0875,2018-02-27,2018-03-15,2018-02-27 17:22:22,2018-03-15 17:45:00
GPOR,Gulfport Energy Corp,2018-03-15 17:49:48,2018-02-27,2018-03-13,3,3,Johnson Charles Douglas; Streller Scott E; Westerman Paul D,127084,10.363333333333333,2018-02-27,2018-03-13,2018-02-28 18:50:52,2018-03-15 17:49:48
SEAS,"Seaworld Entertainment, Inc.",2018-03-16 16:06:43,2018-03-06,2018-03-15,3,3,Hill Path Capital Partners Co-Investment S LP; Hill Path Capital Partners LP; Moloney Thomas E,12025748,14.553333333333335,2018-03-06,2018-03-15,2018-03-08 19:04:56,2018-03-16 16:06:43
APLE,"Apple Hospitality Reit, Inc.",2018-03-16 16:20:50,2018-02-28,2018-03-15,5,7,Buckley David P; Hugh Redd; Knight  Justin G; Knight Glade M; Knight Nelson,923885,17.09857142857143,2018-02-28,2018-03-15,2018-03-02 16:29:32,2018-03-16 16:20:50
STON,Stonemor Partners LP,2018-03-16 16:30:43,2018-02-06,2018-03-02,3,11,"Lautman Martin R; Oaktree Capital Management LP; Oaktree Value Equity Holdings, L.P.",4178926,5.73,2018-02-06,2018-03-02,2018-02-07 21:19:21,2018-03-16 16:30:43
HOLX,Hologic Inc,2018-03-16 16:33:22,2018-02-13,2018-03-15,3,3,Dockendorff Charles J; Nawana Namal; Wendell Amy McBride,954249,38.37,2018-02-13,2018-03-15,2018-02-14 16:09:47,2018-03-16 16:33:22
BXC,Bluelinx Holdings Inc.,2018-03-16 16:59:48,2018-03-13,2018-03-14,6,6,Cummings Gary E; Dinapoli Dominic; Fennebresque Kim S; O'Farrell Susan C.; Reddy Shyam K.; Smith J David,1387755,33.29,2018-03-13,2018-03-14,2018-03-13 20:21:57,2018-03-16 16:59:48
HDSN,Hudson Technologies Inc /ny,2018-03-16 17:03:49,2018-03-15,2018-03-15,4,4,Abbatecola Vincent P; Coleman Brian F; Mandracchia Stephen P; Zugibe Kevin J,55090,5.5075,2018-03-15,2018-03-15,2018-03-16 16:14:45,2018-03-16 17:03:49
SMBK,Smartfinancial Inc.,2018-03-16 19:29:01,2018-03-05,2018-03-16,6,9,Johnson C Bryan; Miller Ted Charles; Ogle David Austin; Tucker Steven B.; Welborn Wesley Miller; Wicks James Beaumont,1111203,22.491111111111113,2018-03-05,2018-03-16,2018-03-06 17:03:36,2018-03-16 19:29:01
AGN,Allergan Plc,2018-03-19 09:36:45,2018-02-21,2018-03-15,4,5,Boccuzi Joseph H; Hilado Maria Teresa; Saunders Brent L; Walsh Matthew M,1258081,155.648,2018-02-21,2018-03-15,2018-02-22 16:25:38,2018-03-19 09:36:45
BWB,Bridgewater Bancshares Inc,2018-03-19 11:44:35,2018-03-16,2018-03-16,7,7,Baack Jerry J.; Chybowski Joseph M.; Crocker Mary Jayne; Johnson James S.; Place Nicholas L.; Shellberg Jeffrey D.; Trutna Thomas P.,329000,11.75,2018-03-16,2018-03-16,2018-03-19 11:26:44,2018-03-19 11:44:35
CAC,Camden National Corp,2018-03-19 13:38:13,2018-03-15,2018-03-15,6,6,Campbell Joanne T; Dufour Gregory A; Hayden Edmund M; Jordan Deborah A; Nightingale Timothy P; Rose Patricia A,144480,30.150000000000002,2018-03-15,2018-03-15,2018-03-19 13:03:43,2018-03-19 13:38:13
MNR,Monmouth Real Estate Investment Corp,2018-03-19 15:00:20,2018-02-23,2018-03-15,5,5,"Elflein Catherine B.; Landy Michael P; Miller Kevin S.; Nagelberg Allison; Umh Properties, Inc.",226739,14.187999999999999,2018-02-23,2018-03-15,2018-02-23 15:59:31,2018-03-19 15:00:20
STKL,Sunopta Inc.,2018-03-19 16:23:56,2018-03-01,2018-03-15,3,3,Duchscher Robert; Hollis Richard Dean; Miketa George,385194,7.12,2018-03-01,2018-03-15,2018-03-05 13:26:33,2018-03-19 16:23:56
JOE,St Joe Co,2018-03-19 16:39:48,2018-03-06,2018-03-16,6,10,Alvarez Cesar L; Bakun Marek; Borick Kenneth; Fairholme Capital Management LLC; Gonzalez Jorge Luis; Murphy Patrick Wayne,1807880,19.262,2018-03-06,2018-03-16,2018-03-08 18:09:49,2018-03-19 16:39:48
TSC,"Tristate Capital Holdings, Inc.",2018-03-19 17:26:41,2018-02-23,2018-03-15,3,5,Bonvenuto David L; Demas David J; Fetterolf Brian S,221848,24.14,2018-02-23,2018-03-15,2018-02-27 16:17:59,2018-03-19 17:26:41
RCUS,"Arcus Biosciences, Inc.",2018-03-19 17:27:27,2018-03-19,2018-03-19,3,3,Falberg Kathryn E; Jaen Juan C.; Rosen Terry J,2449980,15.0,2018-03-19,2018-03-19,2018-03-19 17:23:45,2018-03-19 17:27:27
KTOS,"Kratos Defense & Security Solutions, Inc.",2018-03-20 09:05:13,2018-03-05,2018-03-19,4,4,Carrai Phillip D; Jarvis Scot B; Judd Jane Elizabeth; Zegart Amy,184962,10.302499999999998,2018-03-05,2018-03-19,2018-03-06 17:17:28,2018-03-20 09:05:13
GABC,"German American Bancorp, Inc.",2018-03-20 12:38:04,2018-02-15,2018-03-15,7,14,Bawel Douglas A; Ernst Christina M; Klem U Butch; Ramsey Chris A; Seger Thomas W; Snowden Raymond Ward; Voyles Michael J,32400,34.65999999999998,2018-02-15,2018-03-15,2018-02-20 09:59:29,2018-03-20 12:38:04
HRGG,"Heritage Nola Bancorp, Inc.",2018-03-20 15:36:28,2018-03-16,2018-03-16,3,3,Crumhorn W. David; Hughes Lisa B.; Whitaker Dana,34213,12.5,2018-03-16,2018-03-16,2018-03-20 15:35:29,2018-03-20 15:36:28
ZS,"Zscaler, Inc.",2018-03-20 21:05:22,2018-03-20,2018-03-20,4,4,Bess Lane; Blasing Karen; Darling Scott C; Giancarlo Charles H,5000000,16.0,2018-03-20,2018-03-20,2018-03-20 21:02:25,2018-03-20 21:05:22
ACNB,Acnb Corp,2018-03-21 14:33:33,2018-03-15,2018-03-15,16,16,Alloway Richard Lee II; Elsner Frank III; Glass Lynda L; Herring Todd L; Kelley Scott L; Lott James J; Newell Donna M; Patterson J Emmett; Potts Daniel W; Ritter Thomas A; Schultz Marian B; Seibel Donald Arthur Jr; Sites David L; Stock Alan J; Stone Thomas R; Williams James Eugene,46750,29.38,2018-03-15,2018-03-15,2018-03-21 09:01:37,2018-03-21 14:33:33
